[2024-03-04 04:00:34] [policyServer.c:1079] - Created 'policies' table.
[2024-03-04 04:00:34] [policyServer.c:1444] - Starting the application
[2024-03-04 04:00:34] [policyServer.c:508] - MAX_PACKET_LEN: 1500
[2024-03-04 04:00:34] [policyServer.c:513] - RX_RING_SIZE: 1024
[2024-03-04 04:00:34] [policyServer.c:518] - TX_RING_SIZE: 1024
[2024-03-04 04:00:34] [policyServer.c:523] - NUM_MBUFS: 8191
[2024-03-04 04:00:34] [policyServer.c:528] - MBUF_CACHE_SIZE: 250
[2024-03-04 04:00:34] [policyServer.c:533] - BURST_SIZE: 32
[2024-03-04 04:00:34] [policyServer.c:538] - MAX_TCP_PAYLOAD_LEN: 1024
[2024-03-04 04:00:34] [policyServer.c:563] - PS ID: 07cd5873-eeb2-47f2-9e4b-72333c85814f
[2024-03-04 04:00:34] [policyServer.c:568] - HOSTNAME: http://192.168.0.70:3000
[2024-03-04 04:00:34] [policyServer.c:543] - STAT_FILE: stats/stats
[2024-03-04 04:00:34] [policyServer.c:548] - STAT_FILE_EXT: .csv
[2024-03-04 04:00:34] [policyServer.c:553] - TIMER_PERIOD_STATS: 1
[2024-03-04 04:00:34] [policyServer.c:558] - TIMER_PERIOD_SEND: 1
[2024-03-04 04:00:34] [policyServer.c:1452] - Load config done
[2024-03-04 04:00:34] [policyServer.c:1472] - Clean the statistics data
[2024-03-04 04:00:34] [policyServer.c:1492] - Create mbuf pool done
[2024-03-04 04:00:34] [policyServer.c:385] - Port 0 MAC: ae 50 82 be 45 ac
[2024-03-04 04:00:34] [policyServer.c:385] - Port 1 MAC: 0a 73 10 a5 ce 50
[2024-03-04 04:00:34] [policyServer.c:1520] - Main on core 1
[2024-03-04 04:00:34] [policyServer.c:1526] - Stats on core 2
[2024-03-04 04:00:34] [policyServer.c:1532] - DB on core 3
[2024-03-04 04:00:34] [policyServer.c:1538] - Run the lcore main function
[2024-03-04 04:00:34] [policyServer.c:1543] - Run the stats
[2024-03-04 04:00:34] [policyServer.c:1299] - 
Core 1 forwarding packets. [Ctrl+C to quit]
[2024-03-04 04:00:34] [policyServer.c:1547] - Run the Kafka Broker
[2024-03-04 04:00:34] [policyServer.c:1262] - Starting stats process in 2
[2024-03-04 04:00:34] [policyServer.c:1552] - Run the heartbeat
[2024-03-04 04:00:34] [policyServer.c:398] - Opening file stats/stats2024-03-04T04:00:00.csv
[2024-03-04 04:00:34] [policyServer.c:1405] - Time : 2024-03-04T04:00:34.000Z
[2024-03-04 04:00:34] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:00:34.000Z"}]
[2024-03-04 04:00:34] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1352,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:00:34.000Z"}]} 
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"c15531c4-dc73-4b53-a3c8-b7b1e3454b96","hit_count":0,"name":"Natthan","domain":"blabla.com","ip_add":"192.168.88.250"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - blabla.com updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"updatedBlockedList":{"id":"c15531c4-dc73-4b53-a3c8-b7b1e3454b96","name":"Natthan","domain":"blabla.com","ip_add":"222.222.222.222","hit_count":0},"type":"update"}
[2024-03-04 04:00:35] [policyServer.c:234] - blabla.com updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"e88a9ee1-97ed-431d-8684-d489157d8441","hit_count":0,"name":"HAI","domain":"wikipedia.com","ip_add":"192.168.88.250"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - wikipedia.com updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"20740328-ff62-40fa-a04d-4d02852096af","hit_count":0,"name":"Kemas","domain":"Nyoba","ip_add":"HEHE"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Nyoba updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"d9edfc0a-8467-4fda-9d93-a846cf9e0b3a","hit_count":0,"name":"Kemas","domain":"Nyoba","ip_add":"HEHE"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Nyoba updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"20740328-ff62-40fa-a04d-4d02852096af","name":"Kemas","domain":"Nyoba","ip_add":"HEHE","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Nyoba updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"d9edfc0a-8467-4fda-9d93-a846cf9e0b3a","name":"Kemas","domain":"Nyoba","ip_add":"HEHE","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Nyoba updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"b21c972a-966e-4233-96c2-7c9e8cac73fc","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"b21c972a-966e-4233-96c2-7c9e8cac73fc","name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"63e2dce4-419c-4f30-a284-d6d57401beb6","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"e3621276-8d94-4de5-ad52-66ed2deb00ff","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"63e2dce4-419c-4f30-a284-d6d57401beb6","name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"e3621276-8d94-4de5-ad52-66ed2deb00ff","name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"f579678f-acee-4927-9aa7-20384449cb4a","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"4468dd01-f0c5-4a5c-8ca8-dbe7d7f80950","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"dc13ef99-78a5-4f0f-892e-a728c06f1aec","hit_count":0,"name":"Kemas 3","domain":"Kemas 3","ip_add":"Kemas 3"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 3 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"f579678f-acee-4927-9aa7-20384449cb4a","name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"4468dd01-f0c5-4a5c-8ca8-dbe7d7f80950","name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"dc13ef99-78a5-4f0f-892e-a728c06f1aec","name":"Kemas 3","domain":"Kemas 3","ip_add":"Kemas 3","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 3 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"65b42a0e-0765-4076-a759-bc3b0c9f22cf","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"a5a0ad42-9d9d-4f5d-ab09-6c7dcfa11b18","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"186fd61f-e9ac-40a0-b180-aa5a0852f19a","hit_count":0,"name":"Kemas 3","domain":"Kemas 3","ip_add":"Kemas 3"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 3 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"65b42a0e-0765-4076-a759-bc3b0c9f22cf","name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"a5a0ad42-9d9d-4f5d-ab09-6c7dcfa11b18","name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"186fd61f-e9ac-40a0-b180-aa5a0852f19a","name":"Kemas 3","domain":"Kemas 3","ip_add":"Kemas 3","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 3 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"0d4a045a-7e1c-4df4-a1db-4d2a50dd0d68","hit_count":0,"name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"0b1a769b-e0ec-444b-96ad-11397a92e5d5","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"0b1a769b-e0ec-444b-96ad-11397a92e5d5","name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"51606e2a-29d4-44db-ad28-0c557c87f31e","hit_count":0,"name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"0d4a045a-7e1c-4df4-a1db-4d2a50dd0d68","name":"Kemas 1","domain":"Kemas 1","ip_add":"Kemas 1","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 1 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"51606e2a-29d4-44db-ad28-0c557c87f31e","name":"Kemas 2","domain":"Kemas 2","ip_add":"Kemas 2","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - Kemas 2 updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"fb246da4-fe01-4396-b4eb-efec77d74668","hit_count":0,"name":"lala","domain":"ui.ac.id","ip_add":"192.168.77.77"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"updatedBlockedList":{"id":"fb246da4-fe01-4396-b4eb-efec77d74668","name":"lala","domain":"ui.ac.id","ip_add":"192.168.77.78","hit_count":0},"type":"update"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"fb246da4-fe01-4396-b4eb-efec77d74668","name":"lala","domain":"ui.ac.id","ip_add":"192.168.77.78","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"fe8ee059-7326-4e12-8221-d2325ff7c919","hit_count":0,"name":"ui","domain":"ui.ac.id","ip_add":"192.168.88.90"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"fe8ee059-7326-4e12-8221-d2325ff7c919","name":"ui","domain":"ui.ac.id","ip_add":"192.168.88.90","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"7cce8bbb-7336-491f-a1ed-2ee04c7b91cd","hit_count":0,"name":"ui","domain":"ui.ac.id","ip_add":"128.1212.1212.121"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"7cce8bbb-7336-491f-a1ed-2ee04c7b91cd","name":"ui","domain":"ui.ac.id","ip_add":"128.1212.1212.121","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"e4109e06-b188-4672-b57b-635505434a6e","hit_count":0,"name":"ui","domain":"ui.ac.id","ip_add":"192.123.123.123"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"e4109e06-b188-4672-b57b-635505434a6e","name":"ui","domain":"ui.ac.id","ip_add":"192.123.123.123","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"458c31f5-7740-45cc-9a17-37f9a121bbcf","hit_count":0,"name":"ui","domain":"ui.ac.id","ip_add":"192.168.88.23"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"458c31f5-7740-45cc-9a17-37f9a121bbcf","name":"ui","domain":"ui.ac.id","ip_add":"192.168.88.23","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"bc478ee3-22d7-4ba9-99a5-eb98e17c4638","hit_count":0,"name":"ui","domain":"ui.ac.id","ip_add":"192.168.88.250"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"createdBlockedList":{"id":"d31bb4ae-74fd-403e-8ab4-5210d189e527","hit_count":0,"name":"asdad","domain":"ui.ac.id","ip_add":"9090.099.000.0"},"type":"create"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:35] [policyServer.c:126] - Received message: {"deletedBlockedList":{"id":"d31bb4ae-74fd-403e-8ab4-5210d189e527","name":"asdad","domain":"ui.ac.id","ip_add":"9090.099.000.0","hit_count":0},"type":"delete"}
[2024-03-04 04:00:35] [policyServer.c:234] - ui.ac.id updated to the database
[2024-03-04 04:00:39] [policyServer.c:1405] - Time : 2024-03-04T04:00:39.000Z
[2024-03-04 04:00:39] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:00:39.000Z"}]
[2024-03-04 04:00:40] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1353,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:00:39.000Z"}]} 
[2024-03-04 04:00:45] [policyServer.c:1405] - Time : 2024-03-04T04:00:45.000Z
[2024-03-04 04:00:45] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:00:45.000Z"}]
[2024-03-04 04:00:45] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1354,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:00:45.000Z"}]} 
[2024-03-04 04:00:50] [policyServer.c:1405] - Time : 2024-03-04T04:00:50.000Z
[2024-03-04 04:00:50] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:00:50.000Z"}]
[2024-03-04 04:00:50] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1355,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:00:50.000Z"}]} 
[2024-03-04 04:00:53] [policyServer.c:1242] - Domain: ui.ac.id has been blocked
[2024-03-04 04:00:55] [policyServer.c:1405] - Time : 2024-03-04T04:00:55.000Z
[2024-03-04 04:00:55] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:00:55.000Z"}]
[2024-03-04 04:00:55] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1356,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:00:55.000Z"}]} 
[2024-03-04 04:01:00] [policyServer.c:398] - Opening file stats/stats2024-03-04T04:01:00.csv
[2024-03-04 04:01:00] [policyServer.c:807] - Sending statistics to server
[2024-03-04 04:01:00] [policyServer.c:1405] - Time : 2024-03-04T04:01:00.000Z
[2024-03-04 04:01:00] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:01:00.000Z"}]
[2024-03-04 04:01:00] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1357,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:01:00.000Z"}]} 
[2024-03-04 04:01:05] [policyServer.c:1405] - Time : 2024-03-04T04:01:05.000Z
[2024-03-04 04:01:05] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:01:05.000Z"}]
[2024-03-04 04:01:05] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1358,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:01:05.000Z"}]} 
[2024-03-04 04:01:10] [policyServer.c:1405] - Time : 2024-03-04T04:01:10.000Z
[2024-03-04 04:01:10] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:01:10.000Z"}]
[2024-03-04 04:01:10] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1359,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:01:10.000Z"}]} 
[2024-03-04 04:01:15] [policyServer.c:1405] - Time : 2024-03-04T04:01:15.000Z
[2024-03-04 04:01:15] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:01:15.000Z"}]
[2024-03-04 04:01:15] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1360,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:01:15.000Z"}]} 
[2024-03-04 04:01:20] [policyServer.c:1405] - Time : 2024-03-04T04:01:20.000Z
[2024-03-04 04:01:20] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:01:20.000Z"}]
[2024-03-04 04:01:20] [policyServer.c:1417] - Heartbeat failed: Failed sending data to the peer
[2024-03-04 04:01:25] [policyServer.c:1405] - Time : 2024-03-04T04:01:25.000Z
[2024-03-04 04:01:25] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:01:25.000Z"}]
[2024-03-04 04:01:25] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1361,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:01:25.000Z"}]} 
[2024-03-04 04:01:30] [policyServer.c:1405] - Time : 2024-03-04T04:01:30.000Z
[2024-03-04 04:01:30] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:01:30.000Z"}]
[2024-03-04 04:01:30] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1362,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:01:30.000Z"}]} 
[2024-03-04 04:01:35] [policyServer.c:1405] - Time : 2024-03-04T04:01:35.000Z
[2024-03-04 04:01:35] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:01:35.000Z"}]
[2024-03-04 04:01:35] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1363,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:01:35.000Z"}]} 
[2024-03-04 04:01:40] [policyServer.c:1405] - Time : 2024-03-04T04:01:40.000Z
[2024-03-04 04:01:40] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:01:40.000Z"}]
[2024-03-04 04:01:40] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1364,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:01:40.000Z"}]} 
[2024-03-04 04:01:45] [policyServer.c:1405] - Time : 2024-03-04T04:01:45.000Z
[2024-03-04 04:01:45] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:01:45.000Z"}]
[2024-03-04 04:01:45] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1365,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:01:45.000Z"}]} 
[2024-03-04 04:01:50] [policyServer.c:1405] - Time : 2024-03-04T04:01:50.000Z
[2024-03-04 04:01:50] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:01:50.000Z"}]
[2024-03-04 04:01:50] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1366,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:01:50.000Z"}]} 
[2024-03-04 04:01:55] [policyServer.c:1405] - Time : 2024-03-04T04:01:55.000Z
[2024-03-04 04:01:55] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:01:55.000Z"}]
[2024-03-04 04:01:55] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1367,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:01:55.000Z"}]} 
[2024-03-04 04:02:00] [policyServer.c:398] - Opening file stats/stats2024-03-04T04:02:00.csv
[2024-03-04 04:02:00] [policyServer.c:807] - Sending statistics to server
[2024-03-04 04:02:00] [policyServer.c:1405] - Time : 2024-03-04T04:02:00.000Z
[2024-03-04 04:02:00] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:02:00.000Z"}]
[2024-03-04 04:02:00] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1368,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:02:00.000Z"}]} 
[2024-03-04 04:02:05] [policyServer.c:1405] - Time : 2024-03-04T04:02:05.000Z
[2024-03-04 04:02:05] [policyServer.c:1406] - Post Fields : [{"ps_id": "07cd5873-eeb2-47f2-9e4b-72333c85814f", "time": "2024-03-04T04:02:05.000Z"}]
[2024-03-04 04:02:05] [policyServer.c:1372] - Heartbeat Response: {"message":"Heartbeats created successfully","heartbeats":[{"heartbeat_id":1369,"ps_id":"07cd5873-eeb2-47f2-9e4b-72333c85814f","time":"2024-03-04T04:02:05.000Z"}]} 
[2024-03-04 04:02:09] [policyServer.c:588] - Signal 2 received, preparing to exit...
[2024-03-04 04:02:10] [policyServer.c:1113] - Database file deleted successfully.
